family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio,mcblas_runtime_ns,mcblas_tflops,mcblas_err_max,local_vs_mcblas_ratio
gemm_layoutAB_ContinuousC,fp16,3584,256,18944,418031.58819675446,83.15733196611549,330429.5241832733,105.20364860834584,0.7904415204808648,0.25,tk_local_bf16_continuousc_reusea_n_params,402517.0,86.36247,0.000672,1.0385430599816565,284416.0,122.223759,2.923311,0.7065931428274923
gemm_layoutAB_ContinuousC,bf16,4608,16,3584,105571.00176811218,5.005941926750084,118112.19155788422,4.4744094325013215,1.1187938882811672,1.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,32,3584,96315.51802158356,10.973980410541346,124944.37396526337,8.459481403251129,1.2972403256686458,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,48,3584,99016.35348796844,16.011970307436627,113813.20655345917,13.930254317677099,1.149438477021765,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,64,3584,103153.2883644104,20.493086061707565,114144.75739002228,18.51972236251636,1.106554712892741,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,80,3584,107059.25524234772,24.681766317339218,118404.62684631348,22.31679276714237,1.1059728239121736,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,96,3584,106088.81711959839,29.88904872438457,119157.13548660278,26.61102762374238,1.1231828077814454,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,112,3584,111954.28669452667,33.04363090708575,123659.148812294,29.915911305643835,1.1045503701855086,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,128,3584,112863.25752735138,37.46000713275015,122589.99049663544,34.487794760992635,1.0861815721287937,0.5,tk_local_bf16_continuousc_reusea_n_params,88064.0,48.00893,0.0,1.2816049348273415,,,,
gemm_layoutAB_ContinuousC,bf16,4608,144,3584,140603.63173484802,33.82800769306986,138657.16755390167,34.30288401175523,0.9861563733672469,0.5,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,bf16,4608,160,3584,134587.28790283203,39.266881162026856,137528.4045934677,38.42713842003674,1.021852856510186,0.0,unsupported_shape,,,,,,,,
