family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio
gemm_layoutAB_ContinuousC,bf16,37888,256,3584,537401.0652303696,129.37224654401564,510422.5128889084,136.21025983062745,0.9497981040847097,1.0,tk_local_bf16_continuousc_128x128x128_stage4,668672.0,103.974416,0.0,0.8036840881836688
gemm_layoutAB_ContinuousC,bf16,3584,16,18944,192528.5905599594,11.284814715990812,206928.70020866394,10.499507655579587,1.0747946557278716,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,32,18944,210417.43457317352,20.650850310072116,208668.41077804565,20.823942291015793,0.9916878380411979,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,48,18944,214068.2190656662,30.447996645408608,222282.48417377472,29.322816146433006,1.0383721840820694,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,64,18944,236690.04440307617,36.71720925110043,220675.0214099884,39.38188306257773,0.9323375723998992,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,80,18944,274803.48944664,39.53096586173216,235835.09027957916,46.062896522827764,0.8581953990266651,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,96,18944,332582.7419757843,39.195950922038996,235946.84898853302,55.24929401635511,0.7094380411528165,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,112,18944,338004.9020051956,44.995046562272115,230535.8648300171,65.97041338975106,0.6820488799493015,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,128,18944,382708.3855867386,45.41629196170476,236105.17382621765,73.6163273948127,0.6169323242401382,2.0,tk_local_bf16_continuousc_128x128x128_stage4,427520.0,40.655865,0.0,0.8951823947732507
gemm_layoutAB_ContinuousC,bf16,3584,144,18944,321738.42191696167,60.77559879698392,303843.98996829987,64.35488570973564,0.9443820484913045,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,160,18944,520952.045917511,41.70536403544567,404866.41228199005,53.66336663380084,0.7771663734786401,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,176,18944,359067.6933526993,66.55888188894993,280017.03321933746,85.34889437700667,0.7798446877934151,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,192,18944,358223.91510009766,72.78071777177362,329365.95380306244,79.15752482294843,0.9194415557404326,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,208,18944,496856.8682670593,56.846236692895395,336235.3891134262,84.00199399139385,0.6767248489210791,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,224,18944,440789.3866300583,69.00595506744399,353915.61686992645,85.944477039506,0.8029131998292816,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,240,18944,494951.38227939606,65.84432986107583,365681.9462776184,89.12045675686304,0.7388239721516605,2.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,256,18944,495713.2041454315,70.12601492414849,364800.91512203217,95.29140446473765,0.7359112326872929,2.0,tk_local_bf16_continuousc_128x128x128_stage4,429824.0,80.875875,0.0,1.1532934687288168
