family,dtype,m,n,k,kernel_ns,kernel_tflops,ref_ns,ref_tflops,speedup,max_error,status
gemm_layoutAB_ContinuousC,fp16,3584,48,18944,164074.8232603073,39.7254635810832,190265.4767036438,34.25712603738571,1.1596262785655091,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,64,18944,198198.48239421844,43.84795374322962,202974.30455684662,42.81624665237388,1.0240961590872781,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,80,18944,236596.91214561462,45.91457792701101,214224.6812582016,50.709597494542194,0.9054415770496449,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,96,18944,248072.66891002655,52.548702318867655,216422.60253429413,60.23352773393594,0.8724161492082323,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,112,18944,286212.1909856796,53.137311348002456,225821.50995731354,67.34764242288006,0.7890003188879272,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,128,18944,293023.88429641724,59.31665201194836,225987.2853755951,76.91227294983489,0.7712247959520964,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,144,18944,430230.051279068,45.44974296859712,355191.52879714966,55.05155293038317,0.8255851206608421,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,160,18944,509835.77966690063,42.61469199787219,380840.15250205994,57.04885521460997,0.7469859270192463,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,176,18944,395052.13499069214,60.49617778312498,384204.08964157104,62.20429411434902,0.9725402183957905,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,192,18944,396950.1703977585,65.68026822579549,381981.9539785385,68.25399313357309,0.9622919511428317,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,208,18944,359790.3996706009,78.50249245632638,327905.64000606537,86.1358869444196,0.9113796263220837,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,224,18944,524884.0898275375,57.95011355363089,414503.738284111,73.381950025144,0.7897052822086978,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,240,18944,623131.1708688736,52.299970862568046,416707.24749565125,78.20776402584673,0.6687311869098257,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,256,18944,623045.489192009,55.79430740615954,425660.98272800446,81.66684982309741,0.6831940686706827,0.25,ok
gemm_layoutAB_ContinuousC,bf16,4608,16,3584,376762.8222703934,1.4026922848048984,387560.57620048523,1.363612133053017,1.028659287200961,1.0,ok
gemm_layoutAB_ContinuousC,bf16,4608,32,3584,259479.50780391693,4.073403009530623,388300.0463247299,2.722030599800844,1.4964574644490227,0.5,ok
